movie_title,movie_year,runtime,genre,rating,director,votes,gross_earning
Alien,1979,117,"Horror, Sci-Fi",8.5,Ridley Scott,905275,78900000
Psycho,1960,109,"Horror, Mystery, Thriller",8.5,Alfred Hitchcock,689068,32000000
The Shining,1980,146,"Drama, Horror",8.4,Stanley Kubrick,1051582,44020000
The Thing,1982,109,"Horror, Mystery, Sci-Fi",8.2,John Carpenter,439793,13780000
Tumbbad,2018,104,"Drama, Fantasy, Horror",8.2,Rahi Anil Barve,53297,
The Exorcist,1973,122,Horror,8.1,William Friedkin,422330,232910000
Diabolique,1955,117,"Crime, Drama, Horror",8.1,Henri-Georges Clouzot,67456,1090000
Rosemary's Baby,1968,137,"Drama, Horror",8,Roman Polanski,223968,
What Ever Happened to Baby Jane?,1962,134,"Drama, Horror, Thriller",8,Robert Aldrich,58904,4050000
The Cabinet of Dr. Caligari,1920,67,"Horror, Mystery, Thriller",8,Robert Wiene,66749,
The Blue Elephant,2014,170,"Drama, Horror, Mystery",8,Marwan Hamed,29151,
Shaun of the Dead,2004,99,"Comedy, Horror",7.9,Edgar Wright,572237,13540000
Nosferatu,1922,94,"Fantasy, Horror",7.9,F.W. Murnau,100942,
Let the Right One In,2008,114,"Drama, Fantasy, Horror",7.9,Tomas Alfredson,221604,2120000
King Kong,1933,100,"Adventure, Horror, Sci-Fi",7.9,Merian C. Cooper,88019,10000000
Get Out I,2017,104,"Horror, Mystery, Thriller",7.8,Jordan Peele,642604,176040000
Predator,1987,107,"Action, Adventure, Horror",7.8,John McTiernan,435400,59740000
I Saw the Devil,2010,144,"Action, Crime, Horror",7.8,Jee-woon Kim,137559,130000
Dawn of the Dead,1978,127,"Horror, Thriller",7.8,George A. Romero,124374,5100000
Night of the Living Dead,1968,96,"Horror, Thriller",7.8,George A. Romero,133452,90000
Freaks,1932,64,"Drama, Horror",7.8,Tod Browning,48381,630000
Frankenstein,1931,70,"Drama, Horror, Sci-Fi",7.8,James Whale,75779,
The Innocents,1961,100,Horror,7.8,Jack Clayton,31689,2620000
The Bride of Frankenstein,1935,75,"Drama, Horror, Sci-Fi",7.8,James Whale,50611,4360000
Evil Dead II,1987,84,"Comedy, Horror",7.7,Sam Raimi,173914,5920000
Halloween,1978,91,"Horror, Thriller",7.7,John Carpenter,289224,47000000
Invasion of the Body Snatchers,1956,80,"Drama, Horror, Sci-Fi",7.7,Don Siegel,52292,
American Psycho,2000,102,"Crime, Drama, Horror",7.6,Mary Harron,658696,15070000
Saw,2004,103,"Horror, Mystery, Thriller",7.6,James Wan,436144,56000000
Train to Busan,2016,118,"Action, Horror, Thriller",7.6,Sang-ho Yeon,235577,2130000
The Fly,1986,96,"Drama, Horror, Sci-Fi",7.6,David Cronenberg,191571,40460000
Zombieland,2009,88,"Action, Comedy, Horror",7.6,Ruben Fleischer,596433,75590000
The Birds,1963,119,"Drama, Horror, Mystery",7.6,Alfred Hitchcock,196469,11400000
The Skin I Live In,2011,120,"Drama, Horror, Mystery",7.6,Pedro Almodóvar,158708,3190000
The Others,2001,104,"Horror, Mystery, Thriller",7.6,Alejandro Amenábar,377287,96520000
What We Do in the Shadows,2014,86,"Comedy, Horror",7.6,Jemaine Clement,190548,3330000
Eyes Without a Face,1960,90,"Drama, Horror",7.6,Georges Franju,33321,50000
Vampire Hunter D: Bloodlust,2000,103,"Animation, Action, Drama",7.6,Jack Fletcher,33553,150000
Repulsion,1965,105,"Drama, Horror, Thriller",7.6,Roman Polanski,55043,
One Cut of the Dead,2017,96,"Comedy, Drama, Horror",7.6,Shin'ichirô Ueda,27004,
The Invisible Man,1933,71,"Horror, Sci-Fi",7.6,James Whale,37549,
Peeping Tom,1960,101,"Drama, Horror, Thriller",7.6,Michael Powell,37256,80000
The Conjuring,2013,112,"Horror, Mystery, Thriller",7.5,James Wan,526164,137400000
A Quiet Place,2018,90,"Drama, Horror, Sci-Fi",7.5,John Krasinski,551233,188020000
28 Days Later,2002,113,"Drama, Horror, Sci-Fi",7.5,Danny Boyle,425705,45060000
Interview with the Vampire: The Vampire Chronicles,1994,123,"Drama, Fantasy, Horror",7.5,Neil Jordan,333084,105260000
The Crow,1994,102,"Action, Crime, Drama",7.5,Alex Proyas,190666,50690000
An American Werewolf in London,1981,97,"Comedy, Horror",7.5,John Landis,113179,30570000
Tucker and Dale vs Evil,2010,89,"Comedy, Horror",7.5,Eli Craig,186643,220000
The Wicker Man,1973,88,"Horror, Mystery, Thriller",7.5,Robin Hardy,85380,60000
The Omen,1976,111,"Horror, Mystery",7.5,Richard Donner,124612,4270000
Grindhouse,2007,191,"Action, Horror, Thriller",7.5,Robert Rodriguez,187623,25040000
Braindead,1992,104,"Comedy, Fantasy, Horror",7.5,Peter Jackson,100216,240000
Godzilla,1954,96,"Horror, Sci-Fi",7.5,Ishirô Honda,35705,2420000
Deep Red,1975,127,"Horror, Mystery, Thriller",7.5,Dario Argento,40206,
Stree,2018,128,"Comedy, Horror",7.5,Amar Kaushik,36079,
The Evil Dead,1981,85,Horror,7.4,Sam Raimi,222282,2400000
Scream,1996,111,"Horror, Mystery",7.4,Wes Craven,365136,103050000
Bram Stoker's Dracula,1992,128,"Drama, Fantasy, Horror",7.4,Francis Ford Coppola,226027,82520000
Army of Darkness,1992,81,"Comedy, Horror",7.4,Sam Raimi,186854,11500000
The Rocky Horror Picture Show,1975,100,"Comedy, Horror, Musical",7.4,Jim Sharman,158254,139880000
A Nightmare on Elm Street,1984,91,Horror,7.4,Wes Craven,248750,25500000
The Texas Chain Saw Massacre,1974,83,Horror,7.4,Tobe Hooper,170855,30860000
Carrie,1976,98,"Horror, Mystery",7.4,Brian De Palma,195170,33800000
The Wailing,2016,156,"Drama, Horror, Mystery",7.4,Na Hong-jin,73981,
Jacob's Ladder I,1990,113,"Drama, Horror, Mystery",7.4,Adrian Lyne,113045,26120000
Invasion of the Body Snatchers,1978,115,"Horror, Sci-Fi",7.4,Philip Kaufman,64115,24950000
REC,2007,78,"Horror, Mystery, Thriller",7.4,Jaume Balagueró,187741,
The Orphanage,2007,105,"Drama, Horror, Mystery",7.4,J.A. Bayona,159601,7160000
Nosferatu the Vampyre,1979,107,"Drama, Horror",7.4,Werner Herzog,38215,
